-0.358994 	0.358994 	5.55112e-16 	0.128082 	0.126696 	2.02241e-22
-0.369963 	0.369963 	5.55112e-16 	0.330952 	0.324154 	6.71834e-23
-0.381105 	0.381105 	2.22045e-16 	0.489896 	0.471334 	-1.81508e-22
-0.392425 	0.392425 	-1.11022e-16 	0.609575 	0.573913 	-2.04679e-22
-0.403924 	0.403924 	-1.11022e-16 	0.696667 	0.638514 	-2.41888e-22
-0.415605 	0.415605 	-1.11022e-16 	0.757714 	0.672944 	-1.35714e-23
-0.427473 	0.427473 	1.11022e-16 	0.799181 	0.684812 	-5.51338e-24
-0.439528 	0.439528 	5.55112e-16 	0.82667 	0.68098 	-1.07756e-23
-0.451775 	0.451775 	4.44089e-16 	0.84474 	0.667034 	-2.54173e-23
-0.464217 	0.464217 	-2.22045e-16 	0.856804 	0.647193 	-4.20522e-23
-0.476856 	0.476856 	-8.88178e-16 	0.865246 	0.624394 	-5.02858e-23
-0.489696 	0.489696 	-9.99201e-16 	0.871622 	0.60053 	-2.36179e-22
-0.502739 	0.502739 	-9.99201e-16 	0.876877 	0.576728 	-1.19043e-22
-0.51599 	0.51599 	-9.99201e-16 	0.881549 	0.553593 	-2.17545e-22
-0.529451 	0.529451 	-8.88178e-16 	0.885923 	0.531411 	1.31724e-22
-0.543126 	0.543126 	-6.66134e-16 	0.89014 	0.510284 	3.61806e-22
-0.557018 	0.557018 	-9.99201e-16 	0.894262 	0.490219 	1.50781e-23
-0.57113 	0.57113 	-1.77636e-15 	0.898314 	0.471179 	8.26475e-23
-0.585467 	0.585467 	-1.88738e-15 	0.902302 	0.45311 	-5.05057e-23
-0.600031 	0.600031 	-1.88738e-15 	0.906227 	0.43595 	8.16128e-23
-0.614827 	0.614827 	-1.88738e-15 	0.910087 	0.419642 	-2.25218e-22
-0.629857 	0.629857 	-2.10942e-15 	0.913878 	0.404131 	1.5324e-22
-0.645126 	0.645126 	-2.33147e-15 	0.917597 	0.389366 	1.94962e-22
-0.660638 	0.660638 	-2.10942e-15 	0.921243 	0.375298 	-1.2467e-23
-0.676396 	0.676396 	-1.66533e-15 	0.924813 	0.361884 	3.19733e-22
-0.692404 	0.692404 	-9.99201e-16 	0.928305 	0.349085 	4.22614e-23
-0.708666 	0.708666 	-7.77156e-16 	0.93172 	0.336861 	2.64452e-22
-0.725187 	0.725187 	-1.22125e-15 	0.935055 	0.32518 	-5.40395e-22
-0.741969 	0.741969 	-1.66533e-15 	0.93831 	0.314009 	1.53963e-22
-0.759019 	0.759019 	-1.55431e-15 	0.941486 	0.303319 	-5.25098e-23
-0.776338 	0.776338 	-1.22125e-15 	0.944582 	0.293081 	-1.1088e-22
-0.793933 	0.793933 	-1.11022e-15 	0.947598 	0.283271 	-3.96531e-22
-0.811808 	0.811808 	-1.22125e-15 	0.950535 	0.273864 	2.10488e-22
-0.829966 	0.829966 	-1.11022e-15 	0.953394 	0.264838 	-6.43285e-23
-0.848412 	0.848412 	-7.77156e-16 	0.956176 	0.256174 	5.3214e-23
-0.867152 	0.867152 	-7.77156e-16 	0.958883 	0.247851 	-9.69816e-23
-0.886189 	0.886189 	-6.66134e-16 	0.961517 	0.239852 	9.58292e-23
-0.905528 	0.905528 	-3.33067e-16 	0.964081 	0.232161 	-7.36676e-23
-0.925174 	0.925174 	2.22045e-16 	0.966578 	0.224761 	1.05137e-22
-0.945132 	0.945132 	8.88178e-16 	0.969013 	0.21764 	2.13417e-22
-0.965407 	0.965407 	1.33227e-15 	0.971392 	0.210783 	-1.88701e-23
-0.986004 	0.986004 	1.55431e-15 	0.973736 	0.204174 	3.15491e-22
-1.00693 	1.00693 	1.44329e-15 	0.976039 	0.197826 	-1.57474e-22
-1.02818 	1.02818 	1.33227e-15 	0.978246 	0.191681 	3.03836e-23
-1.04978 	1.04978 	1.66533e-15 	0.98097 	0.185644 	-2.59829e-22
-1.06066 	1.06066 	1.88738e-15 	0.984238 	0.182427 	5.18959e-23
-1.0691 	1.0691 	1.77636e-15 	0.98183 	0.181954 	0
-1.07922 	1.07922 	1.9984e-15 	0.984479 	0.179872 	0
-1.08775 	1.08775 	1.83187e-15 	0.983286 	0.176205 	0
-1.09808 	1.09808 	1.72085e-15 	0.985831 	0.174592 	0
-1.1067 	1.1067 	1.88738e-15 	0.984077 	0.171061 	0
-1.11724 	1.11724 	1.88738e-15 	0.986522 	0.169768 	0
-1.12595 	1.12595 	1.9984e-15 	0.985011 	0.166296 	0
-1.13672 	1.13672 	1.88738e-15 	0.987356 	0.165093 	0
-1.14552 	1.14552 	1.77636e-15 	0.985885 	0.161679 	0
-1.15576 	1.15576 	1.88738e-15 	0.988138 	0.160527 	0
-1.16541 	1.16541 	2.10942e-15 	0.990335 	0.159341 	0
-1.1744 	1.1744 	2.22045e-15 	0.988909 	0.156078 	0
-1.18563 	1.18563 	2.27596e-15 	0.991031 	0.154952 	0
-1.19471 	1.19471 	2.11636e-15 	0.98966 	0.151741 	0
-1.20618 	1.20618 	1.83881e-15 	0.991712 	0.150672 	0
-1.21535 	1.21535 	1.77636e-15 	0.990395 	0.147512 	0
-1.22707 	1.22707 	1.88738e-15 	0.992382 	0.146495 	0
-1.23633 	1.23633 	2.10942e-15 	0.991115 	0.143386 	0
-1.24703 	1.24703 	2.22045e-15 	0.993041 	0.142418 	0
-1.25766 	1.25766 	2.33147e-15 	0.994932 	0.14142 	0
-1.26712 	1.26712 	2.38698e-15 	0.993688 	0.138438 	0
-1.27934 	1.27934 	2.38698e-15 	0.995521 	0.137488 	0
