0.0075 	0.0999 	0.005 	-2.34485
0.0125 	0.0999 	0.005 	-1.13211
0.0175 	0.0999 	0.005 	-0.612386
0.0225 	0.0999 	0.005 	-0.378881
0.0275 	0.0999 	0.005 	-0.251591
0.0325 	0.0999 	0.005 	-0.175806
0.0375 	0.0999 	0.005 	-0.126189
0.0425 	0.0999 	0.005 	-0.088035
0.0475 	0.0999 	0.005 	-0.0528087
0.0525 	0.0999 	0.005 	-0.014852
0.0575 	0.0999 	0.005 	0.0307064
0.0625 	0.0999 	0.005 	0.089464
0.0675 	0.0999 	0.005 	0.169797
0.0725 	0.0999 	0.005 	0.286583
0.0775 	0.0999 	0.005 	0.46765
0.0825 	0.0999 	0.005 	0.773752
0.0875 	0.0999 	0.005 	1.38839
0.0925 	0.0999 	0.005 	2.71155
